forma_ingresso;count;Porcentagem (%)
SiSU;6907;46.2
PROCESSO SELETIVO;3400;22.74
SELEÇÃO DE PÓS-GRADUAÇÃO;2188;14.64
ALUNO ESPECIAL POS-GRADUACAO;855;5.72
REOCUPAÇÃO DE VAGAS RESIDUAIS;540;3.61
PROCESSO SELETIVO EXTERNO TÉCNICO;424;2.84
REINGRESSO SEGUNDO CICLO;227;1.52
PROCESSO SELETIVO EXTERNO TÉCNICO INTEGRADO;130;0.87
PROCESSO SELETIVO ESPECÍFICO;72;0.48
SiSU 2a Edição;53;0.35
ESTUDOS COMPLEMENTARES;37;0.25
PES;21;0.14
JUDICIAL;17;0.11
ALUNO EM MOBILIDADE NACIONAL;14;0.09
TALENTO METRÓPOLE;10;0.07
TRANSF. COMPULSORIA;11;0.07
;11;0.07
CONVENIO PEC-G;9;0.06
ALUNO ESPECIAL;8;0.05
ALUNO EM MOBILIDADE INTERNACIONAL;8;0.05
COOPERAÇÃO INTERNACIONAL;3;0.02
MOBILIDADE INTERNACIONAL;1;0.01
NAO INFORMADO;1;0.01
PERMUTA DE SEDE;2;0.01
